name,VERY_POSITIVE,POSITIVE,NEUTRAL,NEGATIVE,VERY_NEGATIVE
A11XKY4EIU2KNR-B000BNXDBO.html,0,3,5,8,0
A11XKY4EIU2KNR-B000BTJDGC.html,0,2,1,9,1
A11XKY4EIU2KNR-B000BTJDGM.html,0,2,1,9,1
A11XKY4EIU2KNR-B000E1MTYK.html,1,5,4,4,0
A11XKY4EIU2KNR-B000E1ZK50.html,0,1,2,4,0
A11XKY4EIU2KNR-B000EBGE64.html,0,2,1,4,0
A11XKY4EIU2KNR-B000HOMU98.html,1,3,0,1,0
A11XKY4EIU2KNR-B000I8ERVM.html,0,2,1,9,1
A11XKY4EIU2KNR-B000J1AGQI.html,0,0,0,1,0
A11XKY4EIU2KNR-B000M06KJ8.html,1,8,10,16,2
A11XKY4EIU2KNR-B000M9BPEY.html,0,0,3,4,0
A11XKY4EIU2KNR-B000MMMTAK.html,1,8,2,15,0
A11XKY4EIU2KNR-B000PAAJVA.html,0,0,0,2,0
A11XKY4EIU2KNR-B000Q7ZND6.html,0,0,2,16,0
A11XKY4EIU2KNR-B000QE9ERU.html,0,2,0,1,0
A11XKY4EIU2KNR-B000RJO582.html,0,10,4,11,0
A11XKY4EIU2KNR-B000UJ48PE.html,0,3,6,17,2
A11XKY4EIU2KNR-B000VDDWE2.html,0,0,1,1,0
A11XKY4EIU2KNR-B0011TMOIK.html,0,2,1,4,0
A11XKY4EIU2KNR-B00190KZUU.html,0,0,3,4,0
A11XKY4EIU2KNR-B001EBLX5K.html,1,8,2,15,0
A11XKY4EIU2KNR-B001JIAK66.html,0,1,2,4,0
A11XKY4EIU2KNR-B001NAT07A.html,0,2,8,9,0
A11XKY4EIU2KNR-B001RALGBO.html,0,0,1,1,0
A11XKY4EIU2KNR-B0026KWT0G.html,0,17,2,13,0
A11XKY4EIU2KNR-B0027WNRVI.html,0,1,2,4,0
A11XKY4EIU2KNR-B003UAFBXS.html,0,6,1,5,2
A11XKY4EIU2KNR-B0041JJ4SK.html,0,3,5,8,0
A11XKY4EIU2KNR-B0047BXRB2.html,0,4,9,6,0
A11XKY4EIU2KNR-B004TJ1H1E.html,0,4,0,2,0
A11XKY4EIU2KNR-B006CUZ8S6.html,0,2,1,4,0
A120GIT50UISJP-B00004CZRQ.html,0,1,0,4,1
A120GIT50UISJP-B00004CZSQ.html,0,2,0,4,0
A120GIT50UISJP-B0000524CY.html,0,1,0,4,1
A120GIT50UISJP-B00005JPTK.html,0,6,0,9,1
A120GIT50UISJP-B00005LC6Z.html,0,1,1,4,0
A120GIT50UISJP-B00005RJ1U.html,0,5,1,11,0
A120GIT50UISJP-B000060NYT.html,0,5,1,11,0
A120GIT50UISJP-B00008FEEF.html,0,1,1,4,0
A120GIT50UISJP-B00009MGEM.html,0,2,2,2,0
A120GIT50UISJP-B00009W0U0.html,0,2,2,2,0
A120GIT50UISJP-B00018D454.html,0,3,3,18,1
A120GIT50UISJP-B00018D45O.html,0,3,3,18,1
A120GIT50UISJP-B0001EYTK2.html,0,2,2,2,0
A120GIT50UISJP-B000AMWIVM.html,0,1,1,2,0
A120GIT50UISJP-B000BTJDGC.html,0,4,1,6,1
A120GIT50UISJP-B000BTJDGM.html,0,4,1,6,1
A120GIT50UISJP-B000H5TVKS.html,0,3,2,13,0
A120GIT50UISJP-B000I8ERVM.html,0,4,1,6,1
A120GIT50UISJP-B000LPR9ZS.html,0,0,0,5,0
A120GIT50UISJP-B000Q7ZND6.html,0,1,3,12,0
A120GIT50UISJP-B0017ZUOEE.html,1,2,1,5,0
A120GIT50UISJP-B001992NW4.html,0,1,0,4,1
A120GIT50UISJP-B001GCUO5M.html,1,3,2,6,0
A120GIT50UISJP-B001GCUO5W.html,1,3,2,6,0
A120GIT50UISJP-B001H20HVM.html,0,3,2,13,0
A120GIT50UISJP-B001MYIXAW.html,1,5,0,4,0
A120GIT50UISJP-B001V7YJMG.html,1,5,0,4,0
A120GIT50UISJP-B0021L8UXA.html,0,1,0,2,0
A120GIT50UISJP-B0021L8UXK.html,0,1,0,2,0
A120GIT50UISJP-B002GHHHMO.html,0,1,0,4,1
A120GIT50UISJP-B003NTSBTC.html,1,3,2,6,0
A120GIT50UISJP-B003PAXONC.html,0,6,0,9,1
A120GIT50UISJP-B003VMZPFO.html,0,1,0,2,0
A120GIT50UISJP-B0043KVFX4.html,0,2,1,3,1
A120GIT50UISJP-B004TRJRD6.html,0,1,0,4,1
A126KX6FVI4T66-079074404X.html,0,3,1,2,0
A126KX6FVI4T66-6303109950.html,0,3,1,2,0
A126KX6FVI4T66-6304056818.html,0,3,1,2,0
A126KX6FVI4T66-6304198493.html,0,0,3,2,0
A126KX6FVI4T66-6304711905.html,0,3,1,2,0
A126KX6FVI4T66-7883704540.html,0,2,1,4,0
A126KX6FVI4T66-B00003CXFG.html,0,1,2,4,0
A126KX6FVI4T66-B00003CXI6.html,0,0,1,8,0
A126KX6FVI4T66-B00003CXI7.html,0,0,1,8,0
A126KX6FVI4T66-B00004RM0J.html,0,2,1,2,0
A126KX6FVI4T66-B00004XPQ2.html,0,2,1,5,0
A126KX6FVI4T66-B000059XVS.html,0,3,2,5,0
A126KX6FVI4T66-B00005B6N8.html,0,1,2,4,0
A126KX6FVI4T66-B00005B6N9.html,0,1,2,4,0
A126KX6FVI4T66-B00005B6NC.html,0,1,2,4,0
A126KX6FVI4T66-B00005JL8F.html,0,1,0,5,0
A126KX6FVI4T66-B00005JLWN.html,0,2,2,3,0
A126KX6FVI4T66-B00005JLXE.html,0,2,0,4,0
A126KX6FVI4T66-B00005JNTU.html,0,1,2,4,0
A126KX6FVI4T66-B00005JPAR.html,0,3,1,3,0
A126KX6FVI4T66-B00005JPO1.html,0,2,3,2,0
A126KX6FVI4T66-B00005TNYU.html,0,2,1,2,0
A126KX6FVI4T66-B00005V9HH.html,0,0,3,2,0
A126KX6FVI4T66-B000062V8S.html,0,0,3,3,0
A126KX6FVI4T66-B00006AGH0.html,0,1,0,5,0
A126KX6FVI4T66-B00006AGH1.html,0,1,0,5,0
A126KX6FVI4T66-B00008K76X.html,0,1,0,5,0
A126KX6FVI4T66-B0000ABPLG.html,0,2,2,3,0
A126KX6FVI4T66-B0000DK4QL.html,0,2,0,4,0
A126KX6FVI4T66-B0001O3YC6.html,0,1,2,4,0
A126KX6FVI4T66-B0001O3YCG.html,0,1,2,4,0
A126KX6FVI4T66-B0006IIPIK.html,0,3,0,2,0
A126KX6FVI4T66-B0007TKOA0.html,0,2,3,2,0
A126KX6FVI4T66-B0007TKOAA.html,0,2,3,2,0
A126KX6FVI4T66-B0007TKOAK.html,0,2,3,2,0
A126KX6FVI4T66-B000ARIS52.html,0,1,1,3,0
A126KX6FVI4T66-B000ARTNBK.html,0,1,2,4,0
A126KX6FVI4T66-B000BZISQ2.html,0,0,3,3,0
A126KX6FVI4T66-B000CC3TMM.html,0,2,0,3,0
A126KX6FVI4T66-B000E1MTYK.html,0,1,1,4,0
A126KX6FVI4T66-B000E1MTYU.html,0,0,3,3,0
A126KX6FVI4T66-B000F6IOBQ.html,0,2,1,2,0
A126KX6FVI4T66-B000F9RB8A.html,0,2,0,3,0
A126KX6FVI4T66-B000FA57M6.html,0,0,1,3,0
A126KX6FVI4T66-B000FGGE68.html,1,3,1,2,0
A126KX6FVI4T66-B000FGGE6I.html,1,3,1,2,0
A126KX6FVI4T66-B000FS9FCQ.html,1,1,1,3,0
A126KX6FVI4T66-B000GT4H0Y.html,1,3,1,2,0
A126KX6FVI4T66-B000HRMAPE.html,0,2,2,0,0
A126KX6FVI4T66-B000I186FW.html,1,1,1,3,0
A126KX6FVI4T66-B000I8ES5C.html,0,2,0,3,0
A126KX6FVI4T66-B000I9U8NW.html,0,1,2,4,0
A126KX6FVI4T66-B000J103OI.html,0,4,0,2,0
A126KX6FVI4T66-B000LC55F2.html,0,2,0,2,0
A126KX6FVI4T66-B000ML11RI.html,0,1,1,3,0
A126KX6FVI4T66-B000MXPE7O.html,0,1,2,3,0
A126KX6FVI4T66-B000MXPE7Y.html,0,1,2,3,0
A126KX6FVI4T66-B000MZHW1S.html,0,2,1,2,0
A126KX6FVI4T66-B000O77R6O.html,0,3,1,3,0
A126KX6FVI4T66-B000OLV97I.html,0,0,2,1,1
A126KX6FVI4T66-B000Q7ZND6.html,0,1,0,3,0
A126KX6FVI4T66-B000Q99EAC.html,0,3,0,4,0
A126KX6FVI4T66-B000TGJ8CQ.html,0,3,2,1,0
A126KX6FVI4T66-B000UR9T7I.html,1,3,1,0,0
A126KX6FVI4T66-B000VBJEFK.html,0,2,1,4,0
A126KX6FVI4T66-B000VY1EYQ.html,0,3,2,1,0
A126KX6FVI4T66-B000W4HJ44.html,1,1,2,1,0
A126KX6FVI4T66-B000XJSL9U.html,0,1,1,0,0
A126KX6FVI4T66-B000YAF4MA.html,0,3,1,2,0
A126KX6FVI4T66-B000YHBEPO.html,0,2,2,0,0
A126KX6FVI4T66-B000ZLFALI.html,0,1,3,3,0
A126KX6FVI4T66-B000ZLFALS.html,0,1,3,3,0
A126KX6FVI4T66-B0010HOZVW.html,0,1,0,3,0
A126KX6FVI4T66-B00112S8RS.html,0,1,0,5,0
A126KX6FVI4T66-B0011EBDE6.html,0,2,0,1,0
A126KX6FVI4T66-B0011MRKHW.html,0,2,0,6,0
A126KX6FVI4T66-B0011NVCO8.html,0,0,1,4,0
A126KX6FVI4T66-B0013AESMM.html,0,1,0,3,0
A126KX6FVI4T66-B0013ND36G.html,0,0,3,3,0
A126KX6FVI4T66-B0014B8KSI.html,0,2,0,3,0
A126KX6FVI4T66-B0016JODPW.html,0,1,0,5,0
A126KX6FVI4T66-B0016Q2D66.html,0,1,1,5,0
A126KX6FVI4T66-B0017OB12O.html,0,2,1,5,0
A126KX6FVI4T66-B0019IIPZO.html,0,1,2,4,0
A126KX6FVI4T66-B001A7X0XG.html,1,3,1,2,0
A126KX6FVI4T66-B001AII4T0.html,0,1,0,5,0
A126KX6FVI4T66-B001BR5NN0.html,1,0,0,5,0
A126KX6FVI4T66-B001BTZVFI.html,0,1,2,4,0
A126KX6FVI4T66-B001EIOOV8.html,0,2,0,5,0
A126KX6FVI4T66-B001FFBI82.html,0,0,2,4,0
A126KX6FVI4T66-B001FZ9AAU.html,0,2,1,3,0
A126KX6FVI4T66-B001GL4KI0.html,1,3,1,2,0
A126KX6FVI4T66-B001KEN3K4.html,0,4,0,2,0
A126KX6FVI4T66-B001KZG99A.html,0,2,1,3,0
A126KX6FVI4T66-B001LGXIQ0.html,0,4,0,2,0
A126KX6FVI4T66-B001QH32CE.html,0,3,2,1,0
A126KX6FVI4T66-B001VPJZ6S.html,1,0,0,5,0
A126KX6FVI4T66-B001YV502C.html,1,1,0,3,1
A126KX6FVI4T66-B0026Y88RU.html,0,1,0,3,0
A126KX6FVI4T66-B0028OA3EO.html,0,2,1,2,0
A126KX6FVI4T66-B0028OA3EY.html,0,2,1,2,0
