NAME,VERY_POSITIVE,POSITIVE,NEUTRAL,NEGATIVE,VERY_NEGATIVE
0767800117.html,57,251,74,238,8
0780622553.html,54,284,144,413,16
0780625633.html,43,193,86,386,19
078062565X.html,58,368,135,516,14
0783226128.html,61,379,192,596,32
0783235208.html,50,225,66,248,3
0784010331.html,58,290,146,483,19
0784011923.html,49,358,149,596,23
0788812262.html,76,320,94,391,8
0790701251.html,61,254,115,492,23
0790729989.html,52,254,124,508,24
0790738139.html,72,322,109,430,16
0790738147.html,72,322,109,430,16
0790742322.html,31,171,46,250,8
0790742942.html,31,171,46,250,8
079074404X.html,41,283,145,585,19
079213690X.html,91,395,125,476,20
0792140923.html,73,354,124,450,16
0792158288.html,64,377,145,549,21
0792838289.html,62,279,83,470,6
0800141709.html,65,287,101,463,15
080017948X.html,65,310,128,344,7
630024203X.html,32,178,96,402,18
630266232X.html,50,280,92,391,18
630268644X.html,67,355,146,504,32
630394518X.html,52,254,124,508,24
630395345X.html,95,442,150,551,17
630450862X.html,35,228,71,359,17
630486342X.html,67,355,146,504,32
630528069X.html,63,291,132,485,17
1404954988.html,55,357,172,697,39
1558908242.html,95,442,150,550,18
5553600715.html,115,431,155,531,14
5555672322.html,17,239,154,618,31
5556167281.html,76,320,94,391,8
6300247333.html,33,298,147,689,69
6300267938.html,56,336,155,537,12
6301208773.html,63,291,132,485,17
6301231864.html,25,285,154,615,21
6301661745.html,53,439,276,967,39
6301777867.html,57,251,74,238,8
6301797965.html,57,357,118,428,9
6301972007.html,55,256,154,493,17
6302786770.html,39,242,107,457,23
6302798450.html,40,208,89,326,27
6302799066.html,65,287,101,463,15
6302842557.html,73,330,120,502,16
6303050239.html,39,242,107,457,23
6303109950.html,42,252,113,475,16
6303123236.html,75,448,143,621,16
6303201962.html,63,338,139,556,18
6303212263.html,62,402,132,513,20
6303566669.html,49,358,149,596,23
6303566677.html,49,358,149,596,23
6303686796.html,74,311,145,501,24
6303953425.html,95,442,150,550,18
6304056818.html,41,283,145,585,19
6304127073.html,58,290,146,483,19
6304240554.html,27,263,138,616,25
6304286953.html,48,237,83,366,11
6304432461.html,63,291,132,485,17
6304436394.html,35,241,98,381,19
6304497156.html,25,285,154,615,21
6304539258.html,39,315,202,749,25
6304675771.html,48,237,83,366,11
6304711905.html,42,252,113,475,16
6304808879.html,25,249,122,513,27
6304946597.html,56,244,98,347,8
6304973179.html,64,325,144,508,25
6304994540.html,61,343,172,604,28
6305133107.html,56,326,153,519,9
6305576173.html,57,357,118,428,9
6305605165.html,86,391,188,589,17
6305622930.html,56,244,98,347,8
6305841861.html,35,202,91,365,16
6305949972.html,52,276,97,361,16
7799122803.html,73,496,265,1014,48
7883704540.html,141,688,197,938,19
B000A0GP5Y.html,24,187,102,462,22
B000A6T29O.html,21,192,98,337,17
B000A896J8.html,48,292,123,543,29
B000AAJTM0.html,95,442,150,550,18
B000AE8L1Q.html,62,312,108,535,29
B000AMWIVM.html,71,450,298,1330,70
B000AP04L0.html,62,344,156,591,27
B000ARIS52.html,144,912,340,1607,81
B000ARTMWU.html,20,301,222,815,55
B000ARTN42.html,138,730,246,1034,45
B000ARTNBK.html,58,516,200,906,52
B000ASDG0I.html,53,338,179,615,28
B000AY74OQ.html,54,201,84,329,16
B000B7QAHO.html,119,659,294,1149,58
B000B7TLTI.html,168,807,288,1134,34
B000B8VCSA.html,72,486,216,1039,39
B000B8VCSU.html,37,291,103,468,20
B000BB1MI2.html,119,659,294,1149,58
B000BB96M6.html,119,659,294,1149,58
B000BB96MG.html,119,659,294,1149,58
B000BDH6BC.html,25,178,78,351,21
B000BDH6BM.html,25,178,78,351,21
B000BDH6BW.html,25,178,78,351,21
B000BI5KV0.html,91,428,138,638,21
B000BQJO1Y.html,27,263,138,616,25
B000BTJDGC.html,50,276,175,747,19
B000BTJDGM.html,50,276,175,747,19
B000BU0BBM.html,43,287,173,687,38
B000BZISQ2.html,72,498,281,1007,40
B000BZIT20.html,121,496,163,707,26
B000C8Q978.html,31,334,183,711,34
B000C65YP8.html,39,332,145,726,26
B000CC3TMM.html,31,241,154,514,32
B000CCW2RU.html,68,420,233,864,37
B000CCW2TI.html,64,455,196,740,29
B000CD9U4M.html,119,659,294,1149,58
B000E1MTYK.html,37,259,106,460,23
B000E1MTYU.html,72,498,281,1007,40
B000E1ZK50.html,86,610,240,1180,63
B000E5KJH0.html,15,159,77,373,14
B000E5KJHA.html,119,659,294,1149,58
B000E5KJI4.html,117,753,364,1597,95
B000EBGE64.html,57,314,154,577,22
B000EBIP1G.html,116,726,282,1077,39
B000EBIP16.html,116,726,282,1077,39
B000EGDAIY.html,26,228,120,632,32
B000ELL1TE.html,51,221,87,259,12
B000EMGICS.html,15,159,77,373,14
B000EOTTTU.html,49,258,131,475,27
B000EOTVU2.html,28,246,154,762,56
B000EOTVUM.html,28,246,154,762,56
B000EQ5SR0.html,47,289,159,693,45
B000ESSUL4.html,48,249,127,459,26
B000EWBKU8.html,63,291,132,485,17
B000EYK4KI.html,53,338,179,615,28
B000F0V0LI.html,56,326,153,519,9
B000F1IQIM.html,35,241,98,381,19
B000F6IOBQ.html,51,317,153,577,30
B000FA57NK.html,83,309,86,374,14
B000FC2HRW.html,16,230,135,537,31
B000FEE6K6.html,39,332,145,726,26
B000FFL2RA.html,48,292,123,543,29
B000FGGE6I.html,18,183,112,609,43
B000FGGE68.html,18,183,112,609,43
B000FILV1Y.html,28,201,88,408,24
B000FKO0Q0.html,52,232,76,404,6
B000FS9FCQ.html,118,687,361,1436,65
B000FUTQNC.html,17,211,143,521,37
B000FVQLQQ.html,78,297,84,406,15
B000G5SILM.html,23,182,125,396,21
B000GFLEGI.html,45,400,194,926,52
B000GOUMPI.html,83,483,220,686,24
B000GT4H0Y.html,18,183,112,609,43
B000GTLQXU.html,30,277,173,787,52
B000GUJYKG.html,63,291,132,485,17
B000H0MKOC.html,70,481,202,752,20
B000H5TVKI.html,32,178,96,402,18
B000H5TVKS.html,22,282,157,680,40
B000H7I6CU.html,115,530,186,926,38
B000HCO840.html,58,477,260,1142,58
B000HDR81E.html,31,283,170,682,38
B000HDZK1Y.html,22,224,98,421,26
B000HEWEJO.html,86,391,188,589,17
B000HIVOI2.html,25,204,70,410,14
B000HIVOIM.html,58,290,146,483,19
B000HOMU98.html,61,254,115,492,23
B000HRMAPE.html,34,424,184,822,40
B000HZJ0CW.html,32,225,146,586,39
B000I0FB1U.html,22,224,98,421,26
B000I2J2WC.html,94,619,426,1340,71
B000I2JKEM.html,51,324,134,608,47
B000I3PERS.html,91,395,125,476,20
B000I8ERVM.html,50,276,175,747,19
B000I9S5U0.html,138,730,246,1034,45
B000I9S5UK.html,17,153,88,475,42
B000I9U8NW.html,58,516,200,906,52
B000I9U9CW.html,43,267,140,649,31
B000I9WWJA.html,84,419,176,680,32
B000I9WWK4.html,71,394,120,606,36
B000I9X6UO.html,43,267,140,649,31
B000I9YUVS.html,9,121,86,386,49
B000I9YUW2.html,37,281,191,803,48
B000I9YWDO.html,62,344,156,591,27
B000I9YWMA.html,54,278,122,536,25
B000I9YX6U.html,52,332,150,483,19
B000I66JQA.html,71,295,108,405,20
B000I186FW.html,118,687,361,1436,65
B000ICZD6Q.html,58,308,99,457,21
B000ID37RM.html,66,305,135,375,18
B000IEZP8K.html,48,368,160,570,39
B000IMM3XW.html,55,302,87,385,22
B000IOM0WE.html,47,289,159,693,45
B000IOM0WY.html,52,237,73,319,14
B000IOM0X8.html,35,251,97,527,32
B000IZYKR6.html,56,267,129,517,25
B000J1AGQI.html,40,237,105,389,12
B000J103OI.html,84,560,211,886,43
B000JCK3ZG.html,58,477,260,1142,58
B000JF9PSO.html,88,532,295,1216,35
B000JGG6T4.html,68,377,158,690,15
B000JJHYQK.html,23,182,125,396,21
B000JJLTA2.html,29,245,117,556,32
B000JJSJRS.html,48,368,160,570,39
B000JLTR8Q.html,75,493,231,882,40
B000JLTR90.html,75,493,231,882,40
B000JSI7AI.html,85,478,207,867,25
B000JSI7B2.html,54,278,122,536,25
B000JU7KAE.html,75,493,231,882,40
B000JU7KAO.html,75,493,231,882,40
B000JUB7LM.html,169,814,308,1348,50
B000JUB7LW.html,116,557,168,801,36
B000K2UVZM.html,34,230,196,843,86
B000K2UVZW.html,34,230,196,843,86
B000K7UG3O.html,28,201,88,408,24
B000KC86F4.html,58,477,260,1142,58
B000KI79YW.html,23,182,125,396,21
B000KKQNRO.html,91,605,412,1293,68
