"","x"
"A100JCBNALJFAW",3
"A106016KSI0YQ",1
"A109LWN9DUGPDP",3
"A10C5CJK1YKGV0",3
"A10DB0H2NZF11E",2
"A10E3F50DIUJEE",3
"A10HMPPHWI3V0A",3
"A10L8O1ZMUIMR2",1
"A10ODC971MDHV8",2
"A10X0JN8KTK89H",3
"A1129LM24YWSZV",2
"A11C43I615R52G",3
"A11ED8O95W2103",1
"A11KRMIA0ES88I",1
"A11PTCZ2FM2547",2
"A11XKY4EIU2KNR",3
"A120GIT50UISJP",1
"A126KX6FVI4T66",2
"A129YBX5BVNW2",3
"A12A8LU93A132U",1
"A12IDQSS4OW33B",3
"A12IRGQLFE4EBA",3
"A12X2J7AVZ04IQ",2
"A132ETQPMHQ585",1
"A138826JMC0J3T",1
"A139ZF7CJVVTJU",3
"A13D1WTFEMS9VH",1
"A13DQTXG02HZC1",2
"A13E0ARAXI6KJW",2
"A13F2IV3ME23R",2
"A13H2JJ3GEMJN1",1
"A13H7Q4JVK6DTV",1
"A13IKSGDYNBNQS",2
"A13KXWTN0DT878",1
"A13OMT8D4GPIBV",2
"A13RM1AWD1C5ZR",1
"A13TO1ZFAH9SVN",3
"A140XH16IKR4B0",2
"A141HP4LYPWMSR",2
"A1435P5AMCPB3X",2
"A146D2LYLICNLS",3
"A146H6A41B26QT",3
"A14Q6R4481YFFG",3
"A14Z0Q1DU6CBJJ",2
"A152C8GYY25HAH",2
"A1534MBU6VJXYN",2
"A153NZD2WZN5S3",3
"A155KXFRZCA7C",1
"A155X6KYOPQEZ5",1
"A157XTSMJH9XA4",1
"A15G70V9OBTOVO",3
"A15MLF38WROSWU",1
"A15Q7ABIU9O9YZ",2
"A15Q9YEG1XPEJN",1
"A15TNUM2PBS6F0",1
"A15U64VGUV6RBF",3
"A15YPJLKLZS0MK",1
"A161ANWB62G3M8",2
"A1655SGPPUUCRP",3
"A168VXSISJWQN9",1
"A169I83JL8QJGN",1
"A16CZRQL23NOIW",2
"A16FUU8WW76QFY",3
"A16GAIJJE39T1S",3
"A16IXZW2A0NFR6",1
"A16KRCLLTHSB5F",1
"A16Q1LYIDE2WDZ",1
"A16QJ649N8PRV",3
"A16QODENBJVUI1",2
"A16X61RLY1YJL7",2
"A16XRPF40679KG",2
"A16YCLRKOU0EV3",1
"A175GIISFGGO31",3
"A17BT73RVRQYSP",3
"A17D77DFID0GZG",1
"A17FLA8HQOFVIG",2
"A17JVVAKWEB0M",3
"A17LEYMZI8OYOQ",3
"A17N23WXA7EAF",1
"A17NFLRFTMYXF5",3
"A17NVM7IAPF2NS",1
"A17O7AGDZPOJSS",1
"A1845IJB63D5H7",3
"A185QFJRTB5W93",3
"A18758S1PUYIDT",2
"A18BD98SU49UB7",3
"A18CMGIQZ1OAA2",1
"A18CRS4FLVH5YW",3
"A18G7GG53G2X8A",2
"A18GP1PWVTKXQQ",1
"A18HHKM6WGEF9D",1
"A18IK6YI6T3RK2",2
"A18M68DE1Y6W51",3
"A18MBO1U4DPY20",2
"A18OUQEK7IZ2F2",1
"A18RQ2URRGIIEA",2
"A18SDN3HYFVH2L",1
"A192KEPM0HW6AC",1
"A19JYLHD94K94D",1
"A19OQ7LWE2YJL3",3
"A19V0VJMKKRMC8",2
"A19VMQDCB4HZ9P",2
"A19ZXK9HHVRV1X",2
"A1A535W556ROBQ",3
"A1A69DJ2KPU4CH",3
"A1A87TUBBDPMF0",1
"A1ADG449ZNEO6Y",3
"A1AFXJ8U72MD6L",2
"A1AISPOIIHTHXX",2
"A1ALOIPRR8Q06J",3
"A1AMVA4R3G58TV",3
"A1AUOVXPT5MYX4",1
"A1AXHNRDJEQ0B",1
"A1AYN3IIUNQCIA",2
"A1B05INWIDZ74O",3
"A1B350OHYHQTGX",1
"A1B8HI3VREI1H3",1
"A1BA72K4VK1UN1",1
"A1BE1OKY80FUBH",1
"A1BJJVV2B5VLUQ",1
"A1BJOEQSRX2IBM",3
"A1C0PHJN6AUZT6",3
"A1C2P5HX5RLPAX",3
"A1C58YXM2A30CY",2
"A1C7BWPATO40VA",1
"A1C80B497LCYKA",3
"A1C9GCHR99WX3F",3
"A1CDNTB7377YH2",2
"A1CDZNPO7U4E6N",3
"A1CIW2OEVAJRM2",1
"A1CLHLW9PFKG9Q",3
"A1COG8T9MPP3KA",1
"A1COQ2DOO1O9HD",1
